"sample","project","CD8","Cytotoxicity","Antigenicity","PD1","PDL1","FASLG","CXCL9","CXCL10","CCL5","Chemokine_Signature"
"TCGA-38-A44F-01A-11R-A24H-07","LUAD",2.82198680242179,3.5101792614161,11.5118871938281,1.94207970437312,3.25639718682146,1.40306724061575,6.99314967812658,5.58859500330957,5.94373326659551,6.17515931601055
"TCGA-NJ-A4YI-01A-11R-A262-07","LUAD",-0.0552475172366796,1.43137724439965,9.65008800946262,1.59589595625704,4.86010483150829,-0.853760657928347,1.44448981111337,1.37917903572155,2.86774642166967,1.89713842283486
"TCGA-50-5066-01A-01R-1628-07","LUAD",5.47431703023409,5.51111173261629,11.262230271444,2.47041685646838,3.90703624838902,2.33398999368313,8.27241378929255,7.55699727021223,7.37665882009732,7.73535662653403
"TCGA-75-6211-01A-11R-1755-07","LUAD",2.26410769977236,2.95599023154716,8.77519294356385,0.84276361780025,1.53439100866402,0.0211498436431726,4.25700156612458,2.34214867986856,4.33329248484549,3.64414757694621
"TCGA-44-6774-01A-21R-1858-07","LUAD",1.16265863060022,2.64498338460042,10.01031127489,1.95068986202704,3.0842393882713,-1.1943488765565,4.89510831294721,4.28644646683108,4.3375272903191,4.50636069003246
"TCGA-05-4398-01A-01R-1206-07","LUAD",2.56767205818317,3.2123407661868,10.3258671546223,2.545937986666,6.18611577326369,0.453563794449341,7.02270847871013,6.57264070605344,5.36494847933841,6.32009922136733
"TCGA-05-5423-01A-01R-1628-07","LUAD",2.95997231386443,3.39833008972236,10.5333913843489,1.30315133934154,3.05612894661367,0.383363613550254,3.52874187601991,5.26790200989015,5.11579449021586,4.63747945870864
"TCGA-L9-A443-01A-12R-A24H-07","LUAD",2.90308439328617,2.84441342559547,9.88215254652316,1.09215228120773,3.13553771340074,-0.103989222550976,6.59201901228976,5.45991942033957,5.30806700352467,5.786668478718
"TCGA-97-8171-01A-11R-2287-07","LUAD",-1.44136758270312,1.00691817399913,9.65578273535897,-2.38652541890245,0.195278883509263,-3.38274468430316,1.53050007969558,0.610158291244867,1.62274306277889,1.25446714457311
"TCGA-44-6775-01C-02R-A277-07","LUAD",1.24773728517293,0.915725069161276,7.97347569637265,-0.827289592561411,4.05012399227923,-1.14661287736863,4.11677900872869,4.06948458650686,2.12706411803479,3.43777590442345
